DateTime	A	1
30-Mar-2021 00:30:39	79.948	28.2
30-Mar-2021 00:30:44	79.965	28
30-Mar-2021 00:30:49	79.981	27.9
30-Mar-2021 00:30:54	80.069	26.2
30-Mar-2021 00:30:59	79.991	27.9
30-Mar-2021 00:31:04	79.946	28.2
30-Mar-2021 00:31:09	79.96	28.2
30-Mar-2021 00:31:14	80.05	26.7
30-Mar-2021 00:31:19	80.052	26.5
30-Mar-2021 00:31:24	79.945	28.2
30-Mar-2021 00:31:29	79.968	28
30-Mar-2021 00:31:34	80.028	26.5
30-Mar-2021 00:31:39	80.066	26.2
30-Mar-2021 00:31:44	79.98	27.8
30-Mar-2021 00:31:49	79.959	28
30-Mar-2021 00:31:54	79.979	27.8
30-Mar-2021 00:31:59	80.085	25.7
30-Mar-2021 00:32:04	80.062	26
30-Mar-2021 00:32:09	79.953	27.8
30-Mar-2021 00:32:14	79.963	27.9
30-Mar-2021 00:32:19	80.056	26.1
30-Mar-2021 00:32:24	80.056	26.2
30-Mar-2021 00:32:29	79.949	28
30-Mar-2021 00:32:34	79.941	28.3
30-Mar-2021 00:32:39	79.957	28.2
30-Mar-2021 00:32:44	80.06	26.2
30-Mar-2021 00:32:49	80.031	26.4
30-Mar-2021 00:32:54	79.951	28.1
30-Mar-2021 00:32:59	79.955	28.2
30-Mar-2021 00:33:04	80.064	26.2
30-Mar-2021 00:33:09	80.048	26.3
30-Mar-2021 00:33:14	79.941	28.3
30-Mar-2021 00:33:19	79.953	28.2
30-Mar-2021 00:33:24	80.007	26.2
30-Mar-2021 00:33:29	80.084	25.7
30-Mar-2021 00:33:34	79.975	27.9
30-Mar-2021 00:33:39	79.952	28.1
30-Mar-2021 00:33:44	79.961	28
30-Mar-2021 00:33:49	80.072	26.1
30-Mar-2021 00:33:54	80.058	26.1
30-Mar-2021 00:33:59	79.942	28.1
30-Mar-2021 00:34:04	79.947	28.1
30-Mar-2021 00:34:09	80.045	26.4
30-Mar-2021 00:34:14	80.06	26.2
30-Mar-2021 00:34:19	79.961	27.9
30-Mar-2021 00:34:24	79.957	27.9
30-Mar-2021 00:34:29	79.967	27.9
30-Mar-2021 00:34:34	80.062	26.1
30-Mar-2021 00:34:39	80.047	26.3
30-Mar-2021 00:34:44	79.941	28.2
30-Mar-2021 00:34:49	79.962	28
30-Mar-2021 00:34:54	80.078	25.9
30-Mar-2021 00:34:59	80.074	25.9
30-Mar-2021 00:35:04	79.94	28.1
30-Mar-2021 00:35:09	79.945	28.2
30-Mar-2021 00:35:14	79.959	28.1
30-Mar-2021 00:35:19	80.072	26
30-Mar-2021 00:35:24	79.984	28.1
30-Mar-2021 00:35:29	79.943	28.1
30-Mar-2021 00:35:34	79.961	28
30-Mar-2021 00:35:39	80.073	26
30-Mar-2021 00:35:44	80.058	26.1
30-Mar-2021 00:35:49	79.937	28.2
30-Mar-2021 00:35:54	79.945	28.2
30-Mar-2021 00:35:59	80.031	26.2
30-Mar-2021 00:36:04	80.079	26
30-Mar-2021 00:36:09	79.96	28
30-Mar-2021 00:36:14	79.941	28.3
30-Mar-2021 00:36:19	79.963	28.1
30-Mar-2021 00:36:24	80.099	25.6
30-Mar-2021 00:36:29	80.072	25.7
30-Mar-2021 00:36:34	79.931	28.2
30-Mar-2021 00:36:39	79.95	28.1
30-Mar-2021 00:36:44	80.075	25.8
30-Mar-2021 00:36:49	80.082	25.7
30-Mar-2021 00:36:54	79.939	28
30-Mar-2021 00:36:59	79.941	28.1
30-Mar-2021 00:37:04	79.951	28.1
30-Mar-2021 00:37:09	80.08	25.8
30-Mar-2021 00:37:14	80.027	27.9
30-Mar-2021 00:37:19	79.93	28.2
30-Mar-2021 00:37:24	79.946	28.2
30-Mar-2021 00:37:29	80.089	25.8
30-Mar-2021 00:37:34	80.077	25.7
30-Mar-2021 00:37:39	79.937	28.1
30-Mar-2021 00:37:44	79.935	28.3
